CIDR,Starting IP,Ending IP
2.221.20.0/22,2.221.20.0,2.221.23.255
2.221.76.0/22,2.221.76.0,2.221.79.255
2.221.100.0/22,2.221.100.0,2.221.103.255
2.221.152.0/22,2.221.152.0,2.221.155.255
2.221.232.0/22,2.221.232.0,2.221.235.255
2.222.8.0/22,2.222.8.0,2.222.11.255
2.222.36.0/22,2.222.36.0,2.222.39.255
2.222.112.0/21,2.222.112.0,2.222.119.255
2.222.168.0/22,2.222.168.0,2.222.171.255
2.222.196.0/22,2.222.196.0,2.222.199.255
2.223.20.0/22,2.223.20.0,2.223.23.255
2.223.48.0/22,2.223.48.0,2.223.51.255
2.223.96.0/22,2.223.96.0,2.223.99.255
2.223.140.0/22,2.223.140.0,2.223.143.255
2.223.176.0/22,2.223.176.0,2.223.179.255
2.223.184.0/22,2.223.184.0,2.223.187.255
2.223.200.0/22,2.223.200.0,2.223.203.255
2.223.224.0/22,2.223.224.0,2.223.227.255
5.64.28.0/22,5.64.28.0,5.64.31.255
5.64.60.0/22,5.64.60.0,5.64.63.255
5.64.76.0/22,5.64.76.0,5.64.79.255
5.64.96.0/22,5.64.96.0,5.64.99.255
5.64.104.0/22,5.64.104.0,5.64.107.255
5.64.148.0/22,5.64.148.0,5.64.151.255
5.64.152.0/22,5.64.152.0,5.64.155.255
5.64.168.0/22,5.64.168.0,5.64.171.255
5.64.184.0/22,5.64.184.0,5.64.187.255
5.65.32.0/21,5.65.32.0,5.65.39.255
5.65.48.0/21,5.65.48.0,5.65.55.255
5.65.56.0/22,5.65.56.0,5.65.59.255
5.65.100.0/22,5.65.100.0,5.65.103.255
5.65.116.0/22,5.65.116.0,5.65.119.255
5.65.140.0/22,5.65.140.0,5.65.143.255
5.65.144.0/21,5.65.144.0,5.65.151.255
5.65.156.0/22,5.65.156.0,5.65.159.255
5.65.160.0/22,5.65.160.0,5.65.163.255
5.66.32.0/22,5.66.32.0,5.66.35.255
5.66.48.0/22,5.66.48.0,5.66.51.255
5.66.76.0/22,5.66.76.0,5.66.79.255
5.66.104.0/22,5.66.104.0,5.66.107.255
5.66.112.0/22,5.66.112.0,5.66.115.255
5.66.224.0/22,5.66.224.0,5.66.227.255
5.67.12.0/22,5.67.12.0,5.67.15.255
5.67.24.0/22,5.67.24.0,5.67.27.255
5.67.48.0/21,5.67.48.0,5.67.55.255
5.67.64.0/22,5.67.64.0,5.67.67.255
5.67.104.0/22,5.67.104.0,5.67.107.255
5.67.124.0/22,5.67.124.0,5.67.127.255
5.67.164.0/22,5.67.164.0,5.67.167.255
5.67.168.0/22,5.67.168.0,5.67.171.255
5.67.212.0/22,5.67.212.0,5.67.215.255
5.67.236.0/22,5.67.236.0,5.67.239.255
5.67.240.0/22,5.67.240.0,5.67.243.255
5.67.252.0/22,5.67.252.0,5.67.255.255
5.68.56.0/22,5.68.56.0,5.68.59.255
5.68.72.0/22,5.68.72.0,5.68.75.255
5.68.180.0/22,5.68.180.0,5.68.183.255
5.69.24.0/22,5.69.24.0,5.69.27.255
5.69.60.0/22,5.69.60.0,5.69.63.255
5.69.120.0/22,5.69.120.0,5.69.123.255
5.69.164.0/22,5.69.164.0,5.69.167.255
5.70.4.0/22,5.70.4.0,5.70.7.255
5.70.12.0/22,5.70.12.0,5.70.15.255
5.70.40.0/22,5.70.40.0,5.70.43.255
5.71.4.0/22,5.71.4.0,5.71.7.255
5.71.44.0/22,5.71.44.0,5.71.47.255
5.71.84.0/22,5.71.84.0,5.71.87.255
46.64.80.0/22,46.64.80.0,46.64.83.255
46.64.136.0/22,46.64.136.0,46.64.139.255
51.19.96.0/21,51.19.96.0,51.19.103.255
51.146.96.0/21,51.146.96.0,51.146.103.255
51.194.40.0/22,51.194.40.0,51.194.43.255
51.194.101.0/24,51.194.101.0,51.194.101.255
51.194.102.0/23,51.194.102.0,51.194.103.255
51.241.96.0/21,51.241.96.0,51.241.103.255
51.241.108.0/22,51.241.108.0,51.241.111.255
78.105.40.0/22,78.105.40.0,78.105.43.255
78.105.96.0/21,78.105.96.0,78.105.103.255
87.81.0.0/20,87.81.0.0,87.81.15.255
87.81.128.0/18,87.81.128.0,87.81.191.255
87.81.192.0/19,87.81.192.0,87.81.223.255
87.81.224.0/20,87.81.224.0,87.81.239.255
87.81.240.0/21,87.81.240.0,87.81.247.255
87.81.248.0/22,87.81.248.0,87.81.251.255
90.192.32.0/22,90.192.32.0,90.192.35.255
90.192.88.0/22,90.192.88.0,90.192.91.255
90.192.128.0/22,90.192.128.0,90.192.131.255
90.193.32.0/22,90.193.32.0,90.193.35.255
90.193.160.0/21,90.193.160.0,90.193.167.255
90.194.56.0/22,90.194.56.0,90.194.59.255
90.194.124.0/22,90.194.124.0,90.194.127.255
90.195.64.0/22,90.195.64.0,90.195.67.255
